scient_name,disease,no_doses,scient_name_fk,number,mfr_place,expiration
Mike0,Maleria,10,Mike0,000,usa,2021-10-03T00:00:00+00:00
Mike1,Maleria,30,Mike1,111,uk,2021-10-03T00:00:00+00:00
Mike2,Maleria,10,Mike2,222,usa,2021-10-03T00:00:00+00:00
Mike3,Maleria,30,Mike3,333,uk,2021-10-03T00:00:00+00:00
Mike4,Maleria,10,Mike4,444,usa,2021-10-03T00:00:00+00:00
Mike5,Maleria,30,Mike5,555,uk,2021-10-03T00:00:00+00:00
Mike6,Maleria,10,Mike6,666,usa,2021-10-03T00:00:00+00:00
Mike7,Maleria,30,Mike7,777,uk,2021-10-03T00:00:00+00:00
Mike8,Maleria,10,Mike8,888,usa,2021-10-03T00:00:00+00:00
Mike9,Maleria,30,Mike9,999,uk,2021-10-03T00:00:00+00:00
Mike10,Maleria,10,Mike10,101010,usa,2021-10-03T00:00:00+00:00
Mike11,Maleria,30,Mike11,111111,uk,2021-10-03T00:00:00+00:00
Mike12,Maleria,10,Mike12,121212,usa,2021-10-03T00:00:00+00:00
Mike13,Maleria,30,Mike13,131313,uk,2021-10-03T00:00:00+00:00
Mike14,Maleria,10,Mike14,141414,usa,2021-10-03T00:00:00+00:00
Mike15,Maleria,30,Mike15,151515,uk,2021-10-03T00:00:00+00:00
Mike16,Maleria,10,Mike16,161616,usa,2021-10-03T00:00:00+00:00
Mike17,Maleria,30,Mike17,171717,uk,2021-10-03T00:00:00+00:00
Mike18,Maleria,10,Mike18,181818,usa,2021-10-03T00:00:00+00:00
Mike19,Maleria,30,Mike19,191919,uk,2021-10-03T00:00:00+00:00
Mike20,Maleria,10,Mike20,202020,usa,2021-10-03T00:00:00+00:00
Mike21,Maleria,30,Mike21,212121,uk,2021-10-03T00:00:00+00:00
Mike22,Maleria,10,Mike22,222222,usa,2021-10-03T00:00:00+00:00
Mike23,Maleria,30,Mike23,232323,uk,2021-10-03T00:00:00+00:00
Mike24,Maleria,10,Mike24,242424,usa,2021-10-03T00:00:00+00:00
Mike25,Maleria,30,Mike25,252525,uk,2021-10-03T00:00:00+00:00
Mike26,Maleria,10,Mike26,262626,usa,2021-10-03T00:00:00+00:00
Mike27,Maleria,30,Mike27,272727,uk,2021-10-03T00:00:00+00:00
Mike28,Maleria,10,Mike28,282828,usa,2021-10-03T00:00:00+00:00
Mike29,Maleria,30,Mike29,292929,uk,2021-10-03T00:00:00+00:00
Mike30,Maleria,10,Mike30,303030,usa,2021-10-03T00:00:00+00:00
Mike31,Maleria,30,Mike31,313131,uk,2021-10-03T00:00:00+00:00
Mike32,Maleria,10,Mike32,323232,usa,2021-10-03T00:00:00+00:00
Mike33,Maleria,30,Mike33,333333,uk,2021-10-03T00:00:00+00:00
Mike34,Maleria,10,Mike34,343434,usa,2021-10-03T00:00:00+00:00
Mike35,Maleria,30,Mike35,353535,uk,2021-10-03T00:00:00+00:00
Mike36,Maleria,10,Mike36,363636,usa,2021-10-03T00:00:00+00:00
Mike37,Maleria,30,Mike37,373737,uk,2021-10-03T00:00:00+00:00
Mike38,Maleria,10,Mike38,383838,usa,2021-10-03T00:00:00+00:00
Mike39,Maleria,30,Mike39,393939,uk,2021-10-03T00:00:00+00:00
Mike40,Maleria,10,Mike40,404040,usa,2021-10-03T00:00:00+00:00
Mike41,Maleria,30,Mike41,414141,uk,2021-10-03T00:00:00+00:00
Mike42,Maleria,10,Mike42,424242,usa,2021-10-03T00:00:00+00:00
Mike43,Maleria,30,Mike43,434343,uk,2021-10-03T00:00:00+00:00
Mike44,Maleria,10,Mike44,444444,usa,2021-10-03T00:00:00+00:00
Mike45,Maleria,30,Mike45,454545,uk,2021-10-03T00:00:00+00:00
Mike46,Maleria,10,Mike46,464646,usa,2021-10-03T00:00:00+00:00
Mike47,Maleria,30,Mike47,474747,uk,2021-10-03T00:00:00+00:00
Mike48,Maleria,10,Mike48,484848,usa,2021-10-03T00:00:00+00:00
Mike49,Maleria,30,Mike49,494949,uk,2021-10-03T00:00:00+00:00
Mike50,Maleria,10,Mike50,505050,usa,2021-10-03T00:00:00+00:00
